Компания;Страна;Город;Тип;Релевантность SGT-400;Сайт;Email;Телефон;Контакт;Дов.;Подтверждение
BHEL-GE Gas Turbine Services Pvt. Ltd. (BGGTS);Индия;Hyderabad, Telangana (ремонтный завод — Dundigal);специализированный ремонтный завод горячей части (СП BHEL + GE Vernova);"Крупнейший в Индии цех ремонта горячей части ГТУ. Прямо заявленные компетенции: ремонт камер сгорания — жаровые трубы (combustion liners), TRANSITION PIECES, крышки-caps; ремонт компонентов горячего газового тракта (HGP) по F-технологии; собственный участок ремонта и КАЛИБРОВКИ ТОПЛИВНЫХ ФОРСУНОК — standard, DLN и MNQC (прямой аналог работ по DLE-горелкам); первый в Индии участок восстановления рабочих лопаток (bucket refurbishment). Ограничение: технологии и сертификация — под GE (класс B/E/F), не под Siemens SGT. Интересен как подрядчик по восстановлению/покрытиям и как носитель технологии, а не как держатель чертежей SGT-400.";https://www.bggts.com;Devashish.Sarmacharjee@gevernova.com;"+91 40 40640159; +91 9000553827; завод +91 40 30854111";Devashish Sarmacharjee, GM Commercial;high;"Сайт bggts.com, разделы Services / Repair Facility: «effective Combustion system repairs for B, E and F-class Gas Turbines with components included as Transition Pieces, Combustion Liners, and Caps»; «state of the art repairs and calibration facility for Standard, DLN and MNQC Fuel Nozzles»; «first-of-its-kind GT bucket refurbishment facility in India». Адреса и телефоны — со страницы Contact Us. СП BHEL и GE с 1997 г."
BNC Enerji San. ve Tic. Ltd. Şti.;Турция;Гюльялы, Орду (Gülyalı/Ordu);независимый сервис MRO (полевой);Из всех найденных турецких сервисов наиболее детально описывает работы именно по камере сгорания: визуальная инспекция и обслуживание камер сгорания, замена горелок в камере сгорания (yakıcıların değiştirilmesi), инспекция и замена керамики в зоне горения, обслуживание и испытание горелок, замена сопловых аппаратов, обслуживание горячего газового тракта (Hot Gas Path), снятие/установка рабочих и направляющих лопаток, обслуживание ротора и статора. Полезны как исполнитель работ и как источник контактов по узлам SGT-400 в Турции. Модели/OEM не заявлены.;https://www.bncenerji.com/hizmetlerimiz/gaz-turbini-generator-bakimi/;"info@bncenerji.com; cemalbinici@bncenerji.com";+90 533 545 1922;Cemal Binici (основатель);med;Страница bncenerji.com/hizmetlerimiz/gaz-turbini-generator-bakimi/ перечисляет: инспекция и обслуживание камер сгорания, «yanma odasında bulunan yakıcıların değiştirilmesi» (замена горелок камеры сгорания), инспекция/замена керамики, «Hot-Gas Path (sıcak gaz yolu) bakımı», замена подвижных и неподвижных лопаток, замена сопел, обслуживание ротора/статора. Адрес: Turnasuyu Mah., Yalı Sok. No 184/A, Gülyalı/Ordu. Опыт заявлен как 30 лет в энергетике. Конкретные OEM (Siemens SGT, Ruston, GE, Alstom) на сайте не названы — «газовые турбины любой мощности и типа».
BVPL Turbine Parts (Bangalore Vishwakarma / BVPL);Индия;Bengaluru (Peenya Industrial Area), Karnataka;завод точной механообработки, аэрокосмический уровень (AS9100D);Серийно изготавливает горячую часть промышленных ГТУ: бандажные кольца/обоймы (industrial gas turbine shrouds), сегменты бандажа (shroud shoe tiles), СОПЛОВЫЕ АППАРАТЫ (nozzles) и диафрагмы. Плюс рабочие лопатки турбины высокого давления, сопловые лопатки авиадвигателей (HP/LP aeroengine vanes), блиски, лопатки паровых турбин и — принципиально важно — РЕВЕРС-ИНЖИНИРИНГ лопаток (reverse engineered blades). Реальный кандидат на локализацию сопловых аппаратов и лопаток SGT-400 по образцу.;https://bvplturbineparts.com;"bvpl@bvplturbineparts.com; thanmai@bvplturbineparts.com";"+91 80 4117 1206; +91 73495 36275";не найдено (общий и персональный ящик указаны);high;Сайт bvplturbineparts.com и раздел продукции: «AS9100D & BS EN ISO 9001:2015 certified manufacturer of high precision metal components for the Aerospace, Defence, Steam Turbine and Gas Turbine Industries», отдельная карточка «Industrial Gas Turbine Shrouds, Shroud Shoe Tiles, Nozzles and Diaphragms». Основаны в 1984, с 2001 переориентированы на лопатки турбин. На сайте отзыв клиента: «A US Gas Turbine Services company: They are experts at new product development». Адрес A-252, Peenya 2nd Stage, Peenya Industrial Area Phase IV, Bengaluru 560058.
Barnes Aerospace (подразделение Barnes Group Inc.);США / Великобритания / Польша / Сингапур;"Windsor, Connecticut (HQ); заводы Lansing MI, Ogden UT, Motherwell и Burnley (UK), Rzeszów (PL), Singapore";завод (сложные сварные конструкции горячего тракта) + MRO;Профильная компетенция — «complex fabrications», то есть именно сварные листовые узлы горячего тракта, причём площадка Lansing прямо заявлена как работающая по промышленным ГТУ. В ремонтной части — корпуса и обечайки горячего тракта: Combustor Case, Diffuser Case, Turbine Exhaust Case и Turbine Exhaust Duct, Vane Rings, с полной заменой секций и восстановлением фланцев. Технологии ровно те, что нужны для liner/transition piece: электронно-лучевая и автоматическая TIG-сварка, вакуумная пайка, 5-осевая лазерная обработка (охлаждающие отверстия), плазменное и проволочно-дуговое напыление, дробеструйная обработка. После присоединения MB Aerospace (Motherwell, Шотландия) усилены европейские мощности.;https://barnesaero.com;не найдено (только веб-форма);"+1 860 583 7070 (HQ Windsor CT); +1 517 393 5110 (Lansing MI); +1 801 917 2000 (Ogden UT)";;med;"Страница barnesaero.com/contact/: «Lansing, MI — …complex fabrications and component assembly for aircraft engines, airframes and INDUSTRIAL GAS TURBINES. 5300 Aurelius Rd, Lansing, MI USA 48911, +1 517 393 5110»; «Ogden, UT — With extensive manufacturing capabilities, Ogden is an industry leader in complex fabrications. 1025 South Depot Dr, Ogden, UT USA 84404»; «Aerospace Headquarters Barnes Aerospace 169 Kennedy Rd Windsor, CT 06095 Tel: +1 860 583 7070». Страница /what-we-repair/mro-capabilities/: «Casings & Frames: Intermediate Case, HPC Case, Diffuser Case, Bearing Housings, TOBI Duct, COMBUSTOR CASE, HPT Case, HP/IP Case, LPT Case, Turbine Exhaust Case, Turbine Exhaust Duct, Vane Rings»; «In-House Capabilities Include: Electron beam welding and automatic TIG welding … Vacuum brazing … 5-Axis Laser Machining»; «We are specialized in full section replacements involving both standard and extended flanges»."
Chromalloy (Chromalloy Gas Turbine LLC);США;"Palm Beach Gardens, Florida (штаб-квартира); литейный центр Tampa, FL; заводы Carson City NV, San Antonio TX, Orangeburg NY и др.";независимый (non-OEM) производитель + литейка + покрытия + ремонт;Крупнейший в мире независимый поставщик замещающих деталей для ГТУ (авиация + наземные промышленные). Программа LifeX / PMA — прямая non-OEM альтернатива оригинальным деталям горячей части, включая те, что требуют жаропрочных сплавов и спецпроизводства. Компетенции ровно по нашему профилю: литьё лопаток и сопловых аппаратов (Tampa Casting Center of Excellence), диффузионные и термобарьерные покрытия, сварка/пайка жаровых труб и NGV, восстановление деталей, которые иначе списываются. Есть отдельная служба IGT Field Services по наземным ГТУ. По линейке SGT-400 прямых упоминаний нет (публично заявлены LM2500/LM2500+/LM6000), но по возможностям реверс-инжиниринга и литья — сильный кандидат под лопатки и NGV.;https://www.chromalloy.com;;"+1 561 935 3571 (HQ); +1 813 885 4781 (Tampa Casting COE); +1 775 687 8833 (Carson City); +1 210 331 2300 (San Antonio)";"Energy sales: Judd Adams, Iryna Andreyeva; Aeroderivative: Brion Patt, Jay McClaugherty, Malcolm Waite; IGT Field Services: John Ralston, Pat Battersby, Barry Leonard";med;"Страница chromalloy.com/contact-us/ отдаёт: «Corporate Office, 3999 RCA Boulevard, Palm Beach Gardens, FL 33410, 561.935.3571» и полный список продавцов по направлениям — блок ENERGY с именами Judd Adams, Iryna Andreyeva (OEM), Brion Patt/Jay McClaugherty/Malcolm Waite (Aeroderivative), John Ralston/Pat Battersby/Barry Leonard (IGT Field Services); в блоке LOCATIONS — Tampa +1 813 885 4781. Раздел /energy/: «LifeX parts provide an alternative to OEM turbine parts, even for hot-section parts that require advanced materials expertise and specialized facilities». ВАЖНО: Chromalloy — американский подрядчик с военными программами, комплаенс по РФ будет жёстким."
Chromalloy Gas Turbine LLC;США / Великобритания / Нидерланды / Таиланд / Мексика;"Palm Beach Gardens, FL (HQ); Glasgow (Turbine Services Limited); Tilburg (Нидерланды); Lam Luk Ka, Pathum Thani (Таиланд)";OEM-альтернатива (PMA) + независимый сервис MRO + покрытия;Крупнейший независимый производитель PMA-деталей газового тракта и подрядчик по продвинутым ремонтам и покрытиям для ГТУ. Отдельное направление Energy с подразделениями Parts / Repairs / Maintenance и командой IGT Field Services — то есть работают именно по промышленным ГТУ, а не только по авиации. Есть литейный центр компетенции в Тампе (сопловые аппараты, лопатки) и ремонтная площадка Turbine Services Limited в Глазго, исторически заточенная под индустриальные и аэропроизводные турбины европейского происхождения — то, что нужно по линейке Ruston/Alstom/Siemens. Реальный кандидат на изготовление аналогов (PMA) деталей камеры сгорания и на нанесение TBC/MCrAlY/алитирования по кооперации.;https://www.chromalloy.com/;не найдено (форма обратной связи + именные формы менеджеров);"+1 561 935 3571 (HQ); +44 141 945 7000 (Glasgow); +1 813 885 4781 (литейный центр Tampa)";IGT Field Services: John Ralston, Pat Battersby, Barry Leonard. Energy OEM: Judd Adams, Iryna Andreyeva. EMEA aftermarket: Ron Smits;high;"Страница /contact-us/ (получена напрямую curl): 'Corporate Office 3999 RCA Boulevard, Palm Beach Gardens, FL 33410, 561.935.3571'; в разделе SALES выделен блок 'ENERGY' с подразделами 'OEM — Judd Adams, Iryna Andreyeva', 'Aeroderivative — Brion Patt, Jay McClaugherty, Malcolm Waite', 'IGT Field Services — John Ralston, Pat Battersby, Barry Leonard'. В LOCATIONS: 'UNITED KINGDOM / Glasgow, Scotland — Turbine Services Limited, 50 Colliery Road, Glasgow G32 8SL, P: 44 141 945 7000'; 'Tampa, Florida — Casting Center of Excellence, 3401 Queen Palm Drive, P: +1 813 885 4781'; 'NETHERLANDS / Tilburg, Siriusstraat 55, P: 31 13 532 8400'; 'THAILAND / Lam Luk Ka, Pathum Thani'. Футер: '© 2026 Chromalloy Gas Turbine LLC — THE LEADING GLOBAL PROVIDER OF GAS PATH PMAs AND ADVANCED REPAIRS'. Меню сайта содержит раздел INDUSTRIES > Energy > Parts / Repairs / Maintenance."
Consolidated Precision Products Corp. (CPP);США;"Cleveland, Ohio (HQ); литейные заводы Eastlake OH, Chittenango NY; также Guaymas (Мексика), Liege (Бельгия), Rzeszow (Польша), Povazska Bystrica (Словакия)";литейка (точное литьё и литьё в песчаные формы, включая DS и монокристалл);Один из двух-трёх независимых от Siemens/GE производителей отливок горячей части для ПРОМЫШЛЕННЫХ ГТУ (рынок IGT выделен на сайте в отдельную отрасль наравне с гражданской авиацией и обороной). Номенклатура по IGT: HPT и LPT лопатки (blades/buckets), СОПЛОВЫЕ АППАРАТЫ — «stationary airfoils that direct hot gas flow through turbine stages», а также структурные детали, часть которых относится к тракту камеры сгорания: splash plates (дефлекторы/тарелки камеры сгорания), seal bodies, hot struts, dampers, exhaust diffusers, bearing housings, VIGV covers. Заводы в Rzeszow (Польша) имеют подтверждённые возможности направленной кристаллизации и монокристалла. Кандидат под локализацию отливок NGV и лопаток SGT-400.;https://www.cppcorp.com;не найдено (на сайте только форма /contact);;;med;Раздел cppcorp.com/industries/industrial-gas-turbines перечисляет для IGT: «HPT Blades/Buckets», «LPT Blades/Buckets», Vanes/Nozzles — «Stationary airfoils that direct hot gas flow through turbine stages», плюс bearing housings, exhaust diffusers, hot struts, seal bodies, splash plates, dampers, VIGV covers. Меню Capabilities: Airfoils, Structural Investment Castings, Structural Sand Castings, Metals, Core and Wax Technologies. Профиль Berkshire Partners: «leading manufacturer of highly-engineered castings and sub-assemblies primarily for the commercial aerospace, defense and industrial gas turbine markets», HQ Cleveland OH, заводы Eastlake OH, Chittenango NY, Guaymas, Liege, Povazska Bystrica, два завода в Rzeszow с DS и single crystal. Прямых телефонов/почт на сайте нет — только форма, поэтому контакты «не найдено».
Danyang HB Special Alloy Co., Ltd. (丹阳恒博特种合金有限公司, HB-NICKEL ALLOY);Китай;Danyang (Даньян), Lvcheng Town, пров. Цзянсу;трейдер/переработчик материалов (лист, пруток, труба, поковки, сварочная проволока из жаропрочных сплавов);Материальная база под ЖАРОВЫЕ ТРУБЫ И КАМЕРУ СГОРАНИЯ: держит Hastelloy X, Inconel 617/625/718, Incoloy, Nimonic, Monel в листе/полосе/прутке/трубе, плюс спецсварочную проволоку — то есть весь передел под сварно-листовые узлы горячей части (flame tube, combustion liner, transition piece) для SGT-100/200/300/400. Готовые детали ГТУ не делает — «по чертежу клиента» только заготовки/фитинги. Полезен как поставщик материала российскому/китайскому исполнителю сварки.;https://www.hb-specialalloy.com / http://www.hb-nickelalloy.com;richie@hb-specialalloy.com;+86-180-52779885;Richie Lee;low;"Профильная страница hb-specialalloy.com «Hastelloy X For Gas Turbine Combustor» — прямо позиционируют Hastelloy X под камеру сгорания ГТУ. Раздел About Us (hb-nickelalloy.com): «global special alloy company, committed to Marketing, Manufacturing, R&D of Nickel alloy, Non-ferrous metal, Special stainless steel»; материалы — Hastelloy, Incoloy, Inconel, Monel, Nimonic, спецнержавейка, сварочная проволока; формы — Wire, Bar/Rod, Plate/Strip, Tube/Pipe, Fittings, Forgings, «other ended products as client's drawing»; основана в 2015, ISO 9001:2015. Адрес: Aerospace Industry Park No.125, Xifu Village, Lvcheng Town, Danyang 212352, Jiangsu. Контакты (Richie Lee, +86-180-52779885, richie@hb-specialalloy.com) взяты из карточки go4worldbusiness/goldsupplier — прямой fetch сайта не прошёл, поэтому confidence low."
Doncasters Group (DPC Holdings PLC);Великобритания;"Leeds (штаб-квартира); площадки Chard, Droitwich, Killamarsh (Sheffield), Ryde, Bochum (Германия)";завод (литьё + сварные/фабрикованные узлы горячего тракта);Один из немногих независимых от Siemens изготовителей, у которого в номенклатуре прямо перечислен весь комплект деталей камеры сгорания — combustion baskets, liners, transition pieces, caps, venturis, flow sleeves, impingements, fuel manifolds and injectors, discharge nozzles, engine casings. Отдельное направление по промышленным ГТУ: литые и СВАРНЫЕ (fabricated) теплозащитные экраны и сегменты уплотнений из никелевых и кобальтовых сплавов, а также сопловые/рабочие лопатки (Turbine Airfoils). Британская школа и близость к линейке Ruston/Alstom делают компанию логичным кандидатом по SGT-100/200/300/400. Прямого упоминания SGT-400 на сайте нет — работают по программам OEM.;https://www.doncasters.com;не найдено (адреса на сайте закрыты Cloudflare email-protection);"+44 (0)115 663 0139 (UK Group Enquiries); +44 (0)1460 260600 (Chard); +44 (0)1905 825500 (Droitwich); +49 (0)234 6221 (Bochum)";;high;"Страница doncasters.com/our-expertise/aerospace/combustion-components-and-systems: «Doncasters manufactures a wide range of high specification cast combustion components and systems … The product range … includes caps, venturis, transition pieces, impingements, flow sleeves, combustion baskets, liners, ducts, fairings, oil and drain tanks, reheat and augmentor flaps, discharge nozzles, fuel manifolds and injectors, engine casings, bearings and turbine housings». Страница /our-expertise/industrial-gas-turbines/nickel-alloy-combustion-heat-shields-and-seal-segments: «Doncasters is a leading supplier of cast and FABRICATED heat shields and seal segments to the industrial gas turbine (IGT) and aerospace industries. Materials include cobalt and nickel base alloys and high temperature stainless steel». Штаб-квартира со страницы /contact/europe: «1 Park Row, Leeds LS1 5AB, United Kingdom; UK Group Enquiries: +44 (0)115 663 0139»."
Doncasters Group (площадка Chard Precision Castings);Великобритания / Германия / США;"Chard, Somerset (Chard Precision Castings); Leeds (HQ); Bochum (Германия); Oxford, Alabama (США)";литейка / завод точного литья горячей части ГТУ;Не цех покрытий, а поставщик самих отливок горячей части — но именно тех позиций, вокруг которых крутится камера сгорания SGT-400. У Doncasters выделено отдельное направление Industrial Gas Turbines с подразделами Turbine Airfoils (сопловые аппараты и лопатки), Cast Structural Components и 'Nickel Alloy Combustion, Heat Shields and Seal Segments' — теплозащитные экраны корпуса камеры сгорания и уплотнительные сегменты из кобальтовых и никелевых сплавов и жаропрочных нержавеющих сталей, с толщиной стенки до 1 мм. Это прямой кандидат на локализацию литых деталей жаровой части, которые потом уходят на покрытие в Lincotek/Linde/Flame Spray. В аэро-направлении есть отдельная компетенция 'Combustion Components and Systems'. Также в группу входит Ross & Catherall (Sheffield) — выплавка жаропрочных сплавов, то есть закрыт передел от шихты до отливки.;https://www.doncasters.com/our-expertise/industrial-gas-turbines;не найдено (на сайте почтовые адреса замаскированы как [email protected]);"+44 1460 260600 (Chard Precision Castings); +44 115 663 0139 (UK Group Enquiries); +1 256 231 5511 (US Group Enquiries)";;med;"Меню /our-expertise/ содержит раздел 'Industrial Gas Turbines' с подстраницами 'Turbine Airfoils', 'Cast Structural Components', 'Nickel Alloy Combustion, Heat Shields and Seal Segments', а в аэро-разделе — 'Combustion Components and Systems'. На странице /our-expertise/industrial-gas-turbines/nickel-alloy-combustion-heat-shields-and-seal-segments: 'Materials include cobalt and nickel base alloys and high temperature stainless steels'; 'The Group manufactures parts in which include HP, IP and LP seal segments and combustor case heat shields'; габарит до 130 x 200 мм, толщина стенки до 1 мм. Площадки на той же странице: Chard Precision Castings, Beeching Close, Chard, Somerset TA20 1BB, UK, +44 (0) 1460 260600; Ross & Catherall, Forge Lane, Killamarsh, Sheffield S21 1BA, +44 (0) 114 2486404; Doncasters Structural Castings, 508 Hamric Drive West, Oxford, Alabama 36203, +1 (256) 831 2811. HQ: 1 Park Row, Leeds LS1 5AB. Оговорка: собственные покрытия (TBC/MCrAlY) на сайте не заявлены."
